,Review,Label
0,맛있어요!! 매번 시켜먹는 곳입니다,True
1,축구 볼때 포장주문했는데 진짜 빨리 나왔어요 거의 다 먹고 생각나서 치킨 한조각 사진 찍었어요ㅠ 양념치킨 짱짱,True
2,잘먹었습니다 ~~~,True
3,배달빠르거 맛잇어요,True
4,마싯어요 굿,True
5,너무너무 맛있어요 다음에 또 먹을거에요,True
6,네네에 중독에서 언제쯤 빠져나올까요ㅋㅋ,True
7,"맛있어용ㅎㅎ
항상 늦게까지 하는 네네 굿ㅋㅋ",True
8,"새벽에 배고팠는데 빠르고
맛있게 잘 먹었어요 !",True
9,"배달 짱 빠르고 개존맛,,,뿌ㄹㅋ보다 더 맛있음",True
10,양념꽃게데..양념도모질라고  먹다보니 딱딱한 집게발이소복하네요 ㅠ 서너번 맛잏어서시켯는데..냄새도나고 아닌듯,False
11,맛있게 잘 먹었습니다,True
12,간이 딱 제입맛이었습니다. 잘먹었습니다ㅎㅎ,True
13,음식 맛있습니다 잘 먹었습니다ㅎ,True
14,아주 맛있습니다,True
15,맛있게 잘 먹고 있습니다!,True
16,맛있게 잘먹었습니다,True
17,덕분에 맛있게 잘 먹었습니다!😊👍,True
18,짬뽕은 요근래 먹은곳중에 여기가 젤 맛있었습니다.,True
19,"맛있게 잘먹었습니다.
이벤트 서비스 누락은 조금 아쉬웠습니다.",True
20,"양도 많고
맛도 좋고",True
21,맛있게 먹었습니다,True
22,"리뷰이벤트 만두는 안와서 아쉬웠지만,
음식은 맛이 매우 좋았습니다.
다음에도 재주문 하겠습니다.",True
23,진짜 파파존스 브라우니 맛집입니다,True
24,"사실 파파존스는 처음인데 맛있네요, 도우 퀄리티도 좋고 어쩜 이리도 고소한지",True
25,"소문의 존페 처음 먹어보는데..
미쳤네요",True
26,"피자 최고의 맛집 = 파파존스
👍👍👍👍👍👍👍👍👍👍",True
27,"피자는 역시, 파파존스가 맛있고 짱이에요👍",True
28,"피자는 파파존스가 최고죠
👍👍👍👍👍👍👍👍",True
29,맛잇게 잘먹엇어요!,True
30,"배달이빠르네요.
담백하게잘먹었습니다.",True
31,감사합니다 맛있어요,True
32,음 뭐 할인이라지만  피자라기보단 피지빵같은? 치즈가 너무 없어 치즈맛은 안나고  빵맛만 아쉽...,False
33,항상 친절하고 맛있어요,True
34,맛있게 먹었습니다!,True
35,"이번에는 바로 먹기 직전! 
아이들은 이미 후라이드 몇개 집어갔지만요. ㅋㅋ 
소스도 많이 주셔서 맛나게 후하 하면서 먹었어요.
아이들도 야무지게 후라이드 먹었구요.",True
36,"치맥은 역시
뿌링클을 못따라오지!",True
37,정말 좋았습니다. 맛도 양도 대만족!,True
38,맛있네요. 맛있어요,True
39,시켜본 BHC 매장 중 가장 맛있었습니다!,True
40,양도 많고 맛있어요,True
41,맛있게 잘 먹었습니다.,True
42,덕분에 맛있게 잘 먹었습니다!😊👍,True
43,"진짜 너무 맛있게 먹었습니다.(+배달 속도도 최고)
양이 많아 남아서 다음 날 먹었는데 닭강정 느낌으로 따뜻할 때랑 다른 매력으로 맛있더라구요 ^0^)/",True
44,"양념은 페리카나
개맛있어요
매일먹고싶다",True
45,"역시 페리카나 양념은 근본 b
맛있게 잘 먹었습니다 :D",True
46,맛있게 잘먹었습니다 :),True
